No,Sun 5% (MW),Sun 10% (MW),Sun 15% (MW)
1,29.5,59,97.5
2,23.5,47,99
3,29.25,58.5,88.5
4,32.5,65,70.5
5,33,66,87.75
6,29.5,59,97.5
7,23.5,47,99
8,29.25,58.5,88.5
9,32.5,65,70.5
10,33,66,87.75
11,29.5,59,97.5
12,23.5,47,99
13,29.25,58.5,88.5
14,32.5,65,70.5
15,33,66,87.75
16,29.5,59,97.5
17,23.5,47,99
18,29.25,58.5,88.5
19,32.5,65,70.5
20,33,66,87.75
21,29.5,59,97.5
22,23.5,47,99
23,29.25,58.5,88.5
24,32.5,65,70.5
25,33,66,87.75
26,29.5,59,97.5
27,23.5,47,99
28,29.25,58.5,88.5
29,32.5,65,70.5
30,33,66,87.75
31,29.5,59,97.5
32,23.5,47,99
33,29.25,58.5,88.5
34,32.5,65,70.5
35,33,66,87.75
36,29.5,59,97.5
37,23.5,47,99
38,29.25,58.5,88.5
39,32.5,65,70.5
40,33,66,87.75
41,29.5,59,97.5
42,23.5,47,99
43,29.25,58.5,88.5
44,32.5,65,70.5
45,33,66,87.75
46,29.5,59,97.5
47,23.5,47,99
48,29.25,58.5,88.5
49,32.5,65,70.5
50,33,66,87.75
51,29.5,59,97.5
52,23.5,47,99
53,29.25,58.5,88.5
54,32.5,65,70.5
55,33,66,87.75
56,29.5,59,97.5
57,23.5,47,99
58,29.25,58.5,88.5
59,32.5,65,70.5
60,33,66,87.75
61,29.5,59,97.5
62,23.5,47,99
63,29.25,58.5,88.5
64,32.5,65,70.5
65,33,66,87.75
66,29.5,59,97.5
67,23.5,47,99
68,29.25,58.5,88.5
69,32.5,65,70.5
70,33,66,87.75
71,29.5,59,97.5
72,23.5,47,99
73,29.25,58.5,88.5
74,32.5,65,70.5
75,33,66,87.75
76,29.5,59,97.5
77,23.5,47,99
78,29.25,58.5,88.5
79,32.5,65,70.5
80,33,66,87.75
81,29.5,59,97.5
82,23.5,47,99
83,29.25,58.5,88.5
84,32.5,65,70.5
85,33,66,87.75
86,29.5,59,97.5
87,23.5,47,99
88,29.25,58.5,88.5
89,32.5,65,70.5
90,33,66,87.75
91,29.5,59,97.5
92,23.5,47,99
93,29.25,58.5,88.5
94,32.5,65,70.5
95,33,66,87.75
96,29.5,59,97.5
97,23.5,47,99
98,29.25,58.5,88.5
