,Combined Capacity,Individual Probability,Cumulative Probability,Reversed Cumulative Probability
1,670.0,0.18802550839840187,1.0000000000000002,0.18802550839840187
2,660.0,0.02089172315537799,0.8119744916015983,0.20891723155377986
3,650.0,0.13659427142845612,0.7910827684462203,0.345511502982236
4,640.0,0.03606886442520645,0.6544884970177641,0.38158036740744244
5,630.0,0.04615945572304744,0.6184196325925577,0.42773982313048986
6,620.0,0.17012084967185126,0.5722601768695103,0.5978606728023411
7,610.0,0.026520122782204412,0.402139327197659,0.6243807955845455
8,600.0,0.11480035770113957,0.3756192044154546,0.7391811532856851
9,590.0,0.030300224676543565,0.26081884671431504,0.7694813779622287
10,580.0,0.037856631464021004,0.23051862203777146,0.8073380094262497
11,570.0,0.06903554000597402,0.19266199057375044,0.8763735494322237
12,560.0,0.013847429996177035,0.12362645056777642,0.8902209794284007
13,550.0,0.04302604849137766,0.10977902057159938,0.9332470279197784
14,540.0,0.011355124290456247,0.06675297208022173,0.9446021522102347
15,530.0,0.013786866093481575,0.055397847789765475,0.9583890183037163
16,520.0,0.01655777113310379,0.0416109816962839,0.97494678943682
17,510.0,0.004058380492070792,0.025053210563180106,0.9790051699288908
18,500.0,0.009468222758702908,0.020994830071109312,0.9884733926875937
19,490.0,0.0025000633964631096,0.011526607312406404,0.9909734560840568
20,480.0,0.0029324705283342556,0.009026543915943295,0.9939059266123911
21,470.0,0.0026022857556514192,0.006094073387609039,0.9965082123680425
22,460.0,0.0007530633622993149,0.0034917876319576196,0.9972612757303418
23,450.0,0.0013547413769410517,0.002738724269658305,0.9986160171072829
24,440.0,0.0003582685343133509,0.0013839828927172534,0.9989742856415962
25,430.0,0.0004028131402446549,0.0010257143584039025,0.9993770987818409
26,420.0,0.00028058282395591584,0.0006229012181592478,0.9996576816057968
27,410.0,9.354660651338512e-05,0.0003423183942033319,0.9997512282123102
28,400.0,0.00013172787355795253,0.0002487717876899468,0.9998829560858682
29,390.0,3.4951539221215515e-05,0.00011704391413199427,0.9999179076250894
30,380.0,3.726836212673902e-05,8.209237491077876e-05,0.9999551759872161
31,370.0,2.1094004673798425e-05,4.482401278403974e-05,0.9999762699918898
32,360.0,7.95625254546648e-06,2.3730008110241314e-05,0.9999842262444353
33,350.0,8.822366192089831e-06,1.5773755564774835e-05,0.9999930486106273
34,340.0,2.3559168032760267e-06,6.951389372685005e-06,0.9999954045274306
35,330.0,2.346548218853915e-06,4.595472569408978e-06,0.9999977510756495
36,320.0,1.0994299242586135e-06,2.248924350555063e-06,0.9999988505055737
37,310.0,4.6265877049587747e-07,1.1494944262964495e-06,0.9999993131643442
38,300.0,4.027356805335041e-07,6.868356558005721e-07,0.9999997159000248
39,290.0,1.0886108312780476e-07,2.84099975267068e-07,0.9999998247611079
40,280.0,9.900170653325251e-08,1.7523889213926323e-07,0.9999999237628144
41,270.0,3.8603600441826835e-08,7.623718560601072e-08,0.9999999623664149
42,260.0,1.7927541759562802e-08,3.7633585164183885e-08,0.9999999802939566
43,250.0,1.2061095361038349e-08,1.9706043404621083e-08,0.999999992355052
44,240.0,3.33789430076858e-09,7.644948043582735e-09,0.9999999956929463
45,230.0,2.6704857362049433e-09,4.307053742814155e-09,0.999999998363432
46,220.0,8.585968663434671e-10,1.6365680066092122e-09,0.9999999992220289
47,210.0,4.357542430663671e-10,7.779711402657452e-10,0.9999999996577831
48,200.0,2.1779557493841643e-10,3.422168971993781e-10,0.9999999998755786
49,190.0,6.33144229414074e-11,1.2442132226096165e-10,0.9999999999388931
50,180.0,4.1571673742468155e-11,6.110689931955425e-11,0.9999999999804647
51,170.0,1.0708517127173728e-11,1.9535225577086093e-11,0.9999999999911733
52,160.0,5.8436605434831336e-12,8.826708449912366e-12,0.9999999999970169
53,150.0,1.796352187153445e-12,2.9830479064292325e-12,0.9999999999988133
54,140.0,6.232848262028262e-13,1.1866957192757875e-12,0.9999999999994366
55,130.0,2.127504486210408e-13,5.634108930729614e-13,0.9999999999996493
56,120.0,4.97176984362661e-14,3.506604444519206e-13,0.999999999999699
57,110.0,1.7205189525031382e-14,3.009427460156545e-13,0.9999999999997162
58,100.0,2.9596381473707464e-15,2.8373755649062314e-13,0.9999999999997192
59,90.0,9.447981796186303e-16,2.807779183432524e-13,0.9999999999997202
60,80.0,1.2960686321325238e-16,2.798331201636338e-13,0.9999999999997203
61,70.0,3.3607877550241786e-17,2.7970351330042055e-13,0.9999999999997203
62,60.0,3.946392526167007e-18,2.796699054228703e-13,0.9999999999997203
63,50.0,6.97955986672001e-19,2.796659590303441e-13,0.9999999999997203
64,40.0,7.418001806775012e-20,2.7966526107435745e-13,0.9999999999997203
65,30.0,6.3556931025000106e-21,2.7966518689433936e-13,0.9999999999997203
66,20.0,6.355693102500011e-22,2.7966518053864624e-13,0.9999999999997203
67,0.0,2.7966517990307693e-13,2.7966517990307693e-13,1.0
